Municipality,2017,2018,2019,2020,2021
Matriz De Camaragibe,298468000,287551000,305530000,312165000,385866000
Messias,179613000,156726000,176602000,179683000,221090000
Minador Do Negrão,48424000,54515000,57938000,60480000,74500000
Monteirópolis,51895000,56573000,60397000,71490000,80981000
Murici,290405000,315313000,403324000,423645000,588108000
Novo Lino,145829000,128760000,157875000,182542000,187226000
Olho D'Água Das Flores,191882000,199084000,216846000,228723000,271775000
Olho D'Água Do Casado,70044000,70660000,74727000,81281000,92933000
Olho D'Água Grande,39928000,45727000,49916000,59850000,69586000
Olivença,68838000,79089000,83982000,91821000,108843000
Ouro Branco,76940000,77415000,82891000,94196000,110449000
Palestina,33400000,37090000,39043000,38715000,45911000
Palmeira Dos Índios,778477000,828891000,943218000,995054000,1181478000
Pão De Açúcar,186195000,213482000,214549000,231094000,266596000
Pariconha,72060000,73327000,75944000,119439000,144982000
Paripueira,151348000,165570000,169741000,181607000,236804000
Passo De Camaragibe,266555000,242857000,228044000,270866000,337319000
Paulo Jacinto,67639000,72956000,77017000,85964000,109870000
Penedo,897784000,748024000,793622000,825973000,983851000
Piaçabuçu,293761000,318802000,316532000,403825000,458381000
Pilar,433111000,482269000,539244000,557551000,676106000
Pindoba,32628000,35363000,37647000,44136000,59434000
Piranhas,220225000,246029000,266009000,295233000,344018000
Poço Das Trincheiras,92554000,92359000,92644000,107254000,125601000
Porto Calvo,343267000,328011000,350482000,341029000,412849000
Porto De Pedras,273575000,199187000,213192000,228824000,333198000
Porto Real Do Colégio,193465000,176791000,201172000,220965000,268867000
Quebrangulo,112656000,121725000,138124000,173779000,189051000
Rio Largo,1018571000,1059514000,1164095000,1313496000,1422909000
Roteiro,146753000,114859000,137386000,159083000,204122000
Santa Luzia Do Norte,153707000,135252000,168078000,194229000,277385000
Santana Do Ipanema,513570000,509121000,562748000,573537000,646282000
Santana Do Mundaú,807102000,1094185000,970661000,1379619000,1408563000
São Brás,115090000,83216000,90682000,108427000,129322000
São José Da Laje,302139000,302094000,363473000,413657000,587965000
São José Da Tapera,232181000,225932000,272099000,283574000,332789000
São Luís Do Quitunde,416398000,575006000,689190000,766055000,943656000
São Miguel Dos Campos,977489000,1040390000,1120634000,992214000,1372933000
São Miguel Dos Milagres,140978000,148134000,164159000,174907000,243468000
São Sebastião,381078000,438041000,561730000,669650000,858796000
Satuba,207667000,169556000,186778000,204350000,260967000
Senador Rui Palmeira,82293000,87661000,92433000,101678000,121169000
Tanque D'Arca,49596000,54674000,59428000,79121000,92156000
Taquarana,272048000,253668000,311476000,379707000,510804000
Teotônio Vilela,470147000,512120000,534512000,783577000,1357674000
Traipu,205488000,205190000,206396000,262281000,296950000
União Dos Palmares,935273000,941836000,1049580000,1281739000,1416031000
Viçosa,295468000,339655000,415697000,480609000,594121000
Amparo De São Francisco,28365000,27619000,33187000,33764000,37967000
Aquidabã,216458000,229708000,240218000,261791000,287874000
Aracaju,16376457000,17378213000,17529350000,16450111000,18405678000
Arauá,108234000,108322000,116671000,122804000,140122000
Areia Branca,195694000,188320000,220733000,231285000,252263000
Barra Dos Coqueiros,385636000,488070000,577898000,1111857000,2581592000
Boquim,299585000,291217000,292677000,303366000,333080000
Brejo Grande,77550000,75613000,89202000,92295000,95886000
Campo Do Brito,211710000,196626000,213914000,229345000,237677000
Canhoba,52660000,43424000,55574000,65030000,84436000
Canindé De São Francisco,1633105000,2147285000,2651943000,3161141000,2895222000
Capela,327035000,373968000,388835000,355824000,385290000
Carira,264092000,216677000,324225000,423218000,379818000
Carmópolis,325967000,380349000,457996000,377269000,422601000
Cedro De São João,52112000,53979000,59649000,57579000,64293000
Cristinápolis,198380000,209873000,209635000,225169000,250777000
Cumbe,41641000,36738000,50202000,58755000,69489000
Divina Pastora,103059000,152571000,151315000,120215000,188619000
Estância,1634349000,1693741000,1953242000,2066745000,2126563000
Feira Nova,67053000,57193000,74921000,93835000,114918000
Frei Paulo,240185000,214067000,252534000,320701000,324741000
Gararu,106332000,103272000,118175000,136797000,179511000
General Maynard,31130000,31581000,36059000,36532000,43532000
Gracho Cardoso,66975000,60672000,73607000,84752000,100982000
Ilha Das Flores,73151000,71687000,76265000,85989000,101815000
Indiaroba,165986000,183806000,193016000,203875000,229670000
Itabaiana,1805324000,1793290000,2006622000,1914194000,2213275000
Itabaianinha,429878000,426895000,435164000,470573000,535797000
Itabi,55934000,53347000,58623000,66092000,81127000
Itaporanga D'Ajuda,1033213000,901932000,856211000,864540000,880245000
Japaratuba,295500000,392648000,415767000,380354000,527939000
Japoatã,151970000,161981000,177614000,191989000,210654000
Lagarto,1505374000,1469644000,1639444000,1633951000,1798319000
Laranjeiras,926520000,820872000,807075000,666878000,1162007000
Macambira,71170000,63991000,78542000,86864000,89535000
Malhada Dos Bois,49667000,42570000,43155000,47038000,52760000
Malhador,139845000,126103000,165572000,172081000,173218000
Maruim,273455000,315847000,338129000,347501000,448414000
Moita Bonita,148976000,128773000,205567000,222055000,206468000
Monte Alegre De Sergipe,142194000,138535000,158272000,190718000,218953000
Muribeca,82173000,90972000,93299000,91114000,96660000
Neópolis,271266000,252833000,260155000,278492000,330966000
Nossa Senhora Aparecida,135445000,83359000,97803000,107737000,109900000
Nossa Senhora Da Glória,554396000,558917000,614739000,699509000,790790000
Nossa Senhora Das Dores,287979000,293792000,342869000,390092000,415736000
Nossa Senhora De Lourdes,64542000,59702000,69641000,76431000,91165000
Nossa Senhora Do Socorro,2597777000,2566685000,2729640000,2765294000,3232698000
Pacatuba,179741000,174250000,190169000,205606000,236643000
Pedra Mole,36483000,30198000,42764000,51926000,48012000
Pedrinhas,84121000,81405000,90631000,90095000,98936000
Pinhão,70589000,54199000,76712000,92729000,91574000
Pirambu,116786000,109979000,125080000,127584000,137922000
Poço Redondo,297803000,295515000,316434000,364586000,416245000
Poço Verde,283163000,237493000,248545000,337887000,322302000
Porto Da Folha,267813000,260390000,284314000,311823000,366553000
Propriá,485065000,511477000,513846000,528643000,554299000
Riachão Do Dantas,252680000,266311000,302788000,307739000,328904000
Riachuelo,171828000,171604000,205776000,173425000,222401000
Ribeirópolis,332427000,308711000,311343000,306466000,339443000
Rosário Do Catete,459638000,394294000,313932000,350383000,468956000
Salgado,175023000,173869000,185763000,190569000,217519000
Santa Luzia Do Itanhy,153912000,158116000,162305000,166855000,192690000
Santana Do São Francisco,82235000,68514000,82464000,90411000,106773000
Santa Rosa De Lima,41479000,43280000,47254000,48873000,55084000
Santo Amaro Das Brotas,125130000,125688000,135339000,138607000,167665000
São Cristóvão,909982000,902363000,945086000,958055000,1031740000
São Domingos,101384000,101897000,105331000,114094000,135227000
São Francisco,39325000,39889000,39980000,41904000,56034000
São Miguel Do Aleixo,41005000,36500000,39522000,44542000,49842000
Simão Dias,558023000,525143000,638537000,720296000,790408000
Siriri,121438000,142172000,151152000,134173000,176736000
Telha,33587000,31473000,37677000,39964000,44121000
Tobias Barreto,545127000,553998000,584893000,608276000,655791000
Tomar Do Geru,115788000,121435000,124606000,139514000,146965000
Umbaúba,324411000,340540000,352298000,351089000,401569000
Abaíra,58457000,59567000,62610000,67333000,70195000
Abaré,137405000,137850000,151220000,172641000,208558000
Acajutiba,120754000,133741000,126737000,137467000,144529000
Adustina,120435000,112003000,173041000,305166000,240690000
Água Fria,136430000,110288000,129713000,143124000,158468000
Érico Cardoso,60644000,63243000,65747000,72606000,78063000
Aiquara,41212000,41198000,45792000,46874000,53718000
Alagoinhas,3504871000,3963002000,4349226000,4455016000,4532743000
Alcobaça,264462000,255108000,290438000,305899000,347478000
Almadina,51855000,50181000,53031000,58487000,62876000
Amargosa,339840000,375522000,398310000,417345000,463881000
Amélia Rodrigues,289840000,312387000,340719000,366470000,437584000
América Dourada,111238000,115319000,133272000,148153000,167946000
Anagé,167087000,169915000,184992000,198352000,224877000
Andaraí,97793000,104161000,110565000,117616000,134558000
Andorinha,190567000,191570000,183430000,203220000,223452000
Angical,135830000,134842000,141674000,159622000,190448000
Anguera,65959000,74351000,84599000,78363000,78758000
Antas,112806000,116977000,126920000,143139000,160798000
Antônio Cardoso,105373000,109847000,110774000,110000000,124218000
Antônio Gonçalves,68775000,69304000,72895000,80569000,82702000
Aporá,136532000,125669000,133274000,139595000,148644000
Apuarema,56187000,66828000,64996000,68758000,74300000
Aracatu,106032000,109671000,116386000,125242000,145739000
Araças,139078000,209351000,243425000,206186000,299165000
Araci,381316000,425536000,434921000,467527000,491399000
Aramari,89651000,91494000,104163000,98928000,103771000
Arataca,77260000,81636000,89532000,99827000,101501000
Aratuípe,64423000,65994000,68721000,74637000,79976000
Aurelino Leal,104857000,106741000,110080000,120730000,137001000
Baianópolis,144540000,171344000,169351000,233239000,263823000
Baixa Grande,141312000,159328000,156802000,166898000,194657000
Banzaê,90796000,96654000,91563000,103223000,113597000
Barra,369636000,365582000,380201000,434923000,430649000
Barra Da Estiva,235246000,255274000,261735000,317556000,377673000
Barra Do Choça,361459000,399019000,389634000,525081000,573526000
Barra Do Mendes,94250000,94597000,97882000,102859000,115910000
Barra Do Rocha,45822000,63168000,63157000,67775000,77901000
Barreiras,3895977000,4744841000,5055223000,6138912000,7006121000
Barro Alto,84639000,91813000,99899000,106715000,112884000
Barrocas,220882000,239366000,269344000,319431000,346146000
Barro Preto,60302000,61981000,60893000,69111000,79914000
Belmonte,265802000,288763000,319978000,334889000,373714000
Belo Campo,128827000,130485000,145726000,155404000,169601000
Biritinga,115309000,121542000,128217000,139958000,145438000
Boa Nova,93088000,92741000,97491000,105812000,111607000
Boa Vista Do Tupim,118379000,121713000,129646000,141092000,155317000
Bom Jesus Da Lapa,995798000,1009776000,1107151000,1135983000,1357879000
Bom Jesus Da Serra,54024000,57874000,62387000,69907000,69959000
Boninal,88725000,96624000,97300000,105794000,117992000
Bonito,152287000,165126000,202991000,224370000,270741000
Boquira,150799000,149699000,162102000,180958000,189091000
Botuporã,92702000,90322000,94305000,106862000,110038000
Brejões,110905000,120146000,122108000,133184000,144331000
Brejolândia,80382000,84872000,95195000,107177000,126261000
Brotas De Macaúbas,76426000,80352000,81726000,86335000,96549000
Brumado,1704612000,1768344000,1644455000,1558271000,1783351000
Buerarema,185102000,192112000,207917000,206070000,208933000
Buritirama,123130000,128264000,138206000,141594000,154989000
Caatiba,60596000,65218000,63948000,74817000,77401000
Cabaceiras Do Paraguaçu,115610000,118245000,129984000,138680000,141199000
Cachoeira,492647000,473831000,441788000,454086000,479279000
Caculé,246418000,273726000,283125000,315372000,364286000
Caém,70911000,73904000,80047000,90574000,92294000
Caetanos,81335000,86963000,89139000,98673000,102571000
Caetité,870782000,857217000,921181000,916661000,1098650000
Cafarnaum,159466000,160924000,204120000,192591000,217397000
Cairu,624373000,1129030000,1057387000,655307000,1505542000
Caldeirão Grande,94786000,91005000,96855000,94080000,101982000
Camacan,265190000,282379000,299025000,332357000,354422000
Camaçari,22974401000,23831705000,24120937000,25704283000,33971705000
Camamu,310791000,346132000,360123000,391965000,468403000
Campo Alegre De Lourdes,202946000,218001000,244153000,273768000,295491000
Campo Formoso,1105291000,1134153000,953325000,1317266000,2072637000
Canápolis,64380000,65723000,69609000,76205000,84960000
Canarana,183162000,193577000,207648000,226674000,258822000
Canavieiras,312312000,312003000,342315000,366477000,395602000
Candeal,53553000,54037000,58353000,64698000,67793000
Candeias,3848284000,4365434000,4217672000,4926636000,6819267000
Candiba,111709000,111687000,119791000,131104000,140828000
Cândido Sales,185623000,210920000,209733000,225413000,244706000
Cansanção,254039000,259898000,284653000,309777000,352801000
Canudos,129679000,127483000,132049000,143024000,153151000
Capela Do Alto Alegre,88386000,89662000,94738000,126733000,129534000
Capim Grosso,397627000,427606000,425266000,497701000,579808000
Caraíbas,67441000,67920000,76341000,81672000,86202000
Caravelas,322092000,349036000,345157000,385023000,357882000
Cardeal Da Silva,78542000,103185000,117877000,100009000,117727000
Carinhanha,208961000,214336000,244172000,259484000,288562000
Casa Nova,667332000,690145000,758200000,814775000,875278000
Castro Alves,372224000,275662000,295379000,289955000,317241000
Catolândia,75552000,85281000,76167000,66597000,80901000
Catu,535360000,596513000,646937000,604851000,695391000
Caturama,56997000,59398000,63808000,70377000,78262000
Central,179660000,156287000,167025000,149154000,154525000
Chorrochó,72864000,76588000,81277000,95819000,105494000
Cícero Dantas,270384000,269885000,296587000,337971000,400073000
Cipó,130416000,130762000,133922000,148506000,155394000
Coaraci,156321000,151485000,169860000,182285000,191076000
Cocos,289495000,317898000,297690000,380380000,559871000
Conceição Da Feira,242877000,268783000,296400000,315305000,376055000
Conceição Do Almeida,154463000,159655000,179066000,183140000,200262000
Conceição Do Coité,754625000,731608000,743715000,761371000,884633000
Conceição Do Jacuípe,2282042000,2247622000,2522490000,2341389000,2761128000
Conde,305365000,271703000,288240000,262948000,288929000
Condeúba,139360000,148893000,154054000,165500000,171066000
Contendas Do Sincorá,38275000,36874000,42230000,43762000,50778000
Coração De Maria,178282000,172184000,200460000,204450000,226366000
Cordeiros,55287000,55441000,60569000,65918000,70770000
Coribe,117288000,125810000,140893000,153925000,169096000
Coronel João Sá,131249000,131374000,147258000,173481000,175256000
Correntina,1265388000,1944233000,1468943000,2398561000,3280079000
